"NCOR1"	"ZFP36L1"	"SMAD4"	"CDKN1B"	"CDH1"	"PIK3R1"	"BRCA2"	"KMT2C"	"KRAS"	"MUC16"	"CBFB"	"MAP2K4"	"AHNAK2"	"BAP1"	"ERBB2"	"TP53"	"MAP3K1"	"ERBB3"	"PTEN"	"PIK3CA"	"GPS2"	"SF3B1"	"AGTR2"	"SYNE1"	"GATA3"	"AKT1"	"FOXO3"	"ARID1A"	"RB1"	"CDKN2A"	"MEN1"	"NF1"	"TBX3"	"CHEK2"	"RUNX1"
"MB-0362"	0.6488	-1.4278	-0.5692	-0.9829	-0.1387	0.2649	0.6442	-0.8759	0.5975	0.4375	-0.9757	0.385	0.69	0.0535	0.6171	-0.065	-1.241	0.7237	-0.4454	-1.9252	0.489	1.0353	0.395	0.1814	0.727	0.7579	-0.1501	0.7732	-0.135	0.0647	-0.5376	-0.5943	-0.765	-0.5534	-0.8007
"MB-0346"	0.3312	-1.9684	-2.5897	-1.7246	1.5924	-0.2267	1.2209	-0.327	-0.0729	-0.7318	0.9849	-0.6192	0.2453	-3.1571	4.4808	1.3605	-0.6619	-0.1072	-1.2554	-2.2674	-0.363	1.0428	1.7066	-0.8717	-0.1693	1.9675	0.0589	-0.695	-0.6994	0.1072	2.164	-0.2639	-0.2696	1.8462	-1.9473
"MB-0386"	-0.3336	-1.4047	-1.4175	-1.1409	-0.7637	-0.6875	-0.6712	-0.0154	0.0069	-0.5569	-0.9263	-1.5389	-0.0492	1.8473	-0.643	-0.0393	-1.4874	-0.2926	-0.9175	-0.0451	0.1914	0.1198	0.2963	-0.3925	0.1266	-1.0293	-0.3752	0.0034	0.487	-0.3117	1.2287	-0.8211	0.1784	-0.8928	0.6226
"MB-0574"	0.2663	-1.1984	-2.2613	-1.5033	1.2737	-0.8364	-1.0785	-0.7076	-1.3664	-0.8224	-1.7691	-0.1092	-1.0581	-0.2338	0.496	1.6328	-2.1246	-1.1115	-0.6936	-0.6883	-0.1519	-0.1978	0.5277	-0.6181	0.2467	-1.1985	-0.4585	-0.9322	1.7919	-0.2668	0.5037	0.2209	0.6917	0.7362	-0.6965
"MB-0503"	-1.3986	0.397	0.6804	-0.8475	0.5298	1.3622	-0.296	-0.0817	-0.9904	-0.3882	-0.7777	-2.4083	-0.2553	-0.9715	1.1611	-0.3413	2.2862	0.5288	-0.0996	-1.0361	0.237	1.3932	0.5876	0.2515	0.7005	-1.902	-0.8405	0.5824	0.9048	-0.6555	0.7852	1.5184	0.3603	-0.3503	0.1434
"MB-0641"	-0.5151	-0.9196	-0.2063	-1.4069	-0.8752	0.7656	-1.3925	-0.4373	-0.5547	-0.4748	0.2135	-0.8491	0.5768	0.1239	-0.9264	-0.0309	-1.4941	-0.6108	0.6044	-1.5569	0.5035	0.3942	2.236	0.7239	-0.4013	-1.0153	-0.8117	0.0594	1.635	-0.9561	-0.2341	-1.0396	-0.4067	-0.3878	0.0382
"MB-0201"	-0.7795	-0.9624	-0.2449	-1.3491	-0.1891	-0.1693	-0.5963	0.1965	-0.808	-0.814	-0.2267	-1.2401	0.6585	-2.0346	5.0536	0.8091	-2.5252	-0.6809	-0.0602	-1.3887	-1.1377	0.855	0.262	1.5559	-0.8345	-0.115	-0.2614	-0.2792	0.6528	0.5619	0.9773	-0.4137	0.0515	2.1517	-0.1362
"MB-0218"	-2.3639	0.0237	-1.243	0.2854	0.3069	-0.9039	0.732	-0.3328	-0.0067	-0.7936	-0.8625	-3.0065	-0.4035	0.7095	-0.0899	-1.0348	0.6181	0.5328	-0.4898	-0.2035	4.6775	0.3444	-1.0111	0.703	0.2969	-0.1015	-3.2342	-0.2324	-0.0745	-0.6338	0.4513	-1.6877	-0.8596	1.345	-0.6537
"MB-0316"	-0.4781	0.1025	-0.7645	-0.142	0.2559	-1.6777	-0.4504	-0.0547	-0.6974	3.1524	1.3411	-1.4919	-0.7443	-0.0625	-1.1231	1.7077	-1.3328	-0.3832	-2.872	0.4671	-0.1048	-0.4808	0.0079	-0.6574	-1.5298	-1.3218	-1.7438	-0.2396	-1.0042	4.1521	-0.0213	-0.9037	-1.3572	1.8636	-0.9438
"MB-0189"	-1.535	1.2301	-0.1561	-0.0175	0.8597	0.5556	1.589	-0.5883	0.0082	-0.5309	0.3907	-0.9676	0.5817	-0.334	0.2415	-1.1182	0.6299	-0.0076	-0.7177	0.2245	-1.0241	0.329	-0.704	0.6269	0.1746	-0.5798	-1.2114	0.524	0.2816	0.4512	0.4358	-1.7063	0.6203	0.2868	0.4081
